GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,ch.supsi.dataaccess.image,PBMDataAccess,0,229,0,26,0,42,0,22,0,9
backend,ch.supsi.dataaccess.image,PNMWithMaxValueDataAccess,0,77,0,4,0,23,0,10,0,8
backend,ch.supsi.dataaccess.image,PNMDataAccess,0,292,0,30,0,62,0,26,0,11
backend,ch.supsi.dataaccess.image,DataAccessFactory,0,247,0,20,0,41,0,22,0,12
backend,ch.supsi.dataaccess.image,PPMDataAccess,0,514,0,64,0,80,0,49,0,17
backend,ch.supsi.dataaccess.image,PGMDataAccess,0,249,0,36,0,49,0,27,0,9
backend,ch.supsi.application.filters,FilterApplication,0,68,0,4,0,23,0,9,0,7
backend,ch.supsi.application.translations,TranslationsApplication,0,41,0,2,0,12,0,6,0,5
backend,ch.supsi.dataaccess.preferences,PreferencesDataAccess,0,242,0,8,0,57,0,17,0,13
backend,ch.supsi.business.translations,TranslationBusiness,0,48,0,4,0,12,0,8,0,6
backend,ch.supsi.dataaccess.translations,TranslationsDataAccess,0,451,0,28,0,93,0,30,0,16
backend,ch.supsi.business.filter.chain,FilterChainLink,0,76,0,10,0,17,0,12,0,7
backend,ch.supsi.business.filter.chain.command,VerticalMirrorCommand,0,77,0,10,0,14,0,8,0,3
backend,ch.supsi.business.filter.chain.command,RotateRightCommand,0,69,0,10,0,15,0,9,0,4
backend,ch.supsi.business.filter.chain.command,NegativeCommand,0,53,0,10,0,11,0,8,0,3
backend,ch.supsi.business.filter.chain.command,RotateLeftCommand,0,69,0,10,0,15,0,9,0,4
backend,ch.supsi.business.filter.chain.command,HorizontalMirrorCommand,0,77,0,10,0,14,0,8,0,3
backend,ch.supsi.business.filter,FilterFactory,0,131,0,8,0,36,0,10,0,6
backend,ch.supsi.business.filter,FilterManager,0,205,0,28,0,55,0,21,0,7
backend,ch.supsi.business.strategy,SingleChannel,0,113,0,10,0,15,0,10,0,5
backend,ch.supsi.business.strategy,SingleBit,0,66,0,10,0,9,0,8,0,3
backend,ch.supsi.business.strategy,ThreeChannel,0,183,0,10,0,27,0,10,0,5
backend,ch.supsi.application.image,ImageApplication,0,84,0,8,0,26,0,13,0,9
backend,ch.supsi.business.preferences,PreferencesBusiness,0,59,0,6,0,17,0,9,0,6
backend,ch.supsi.business.image,ImageAdapter,0,103,0,12,0,22,0,12,0,6
backend,ch.supsi.business.image,ImageAdapter.new Function() {...},0,14,0,0,0,2,0,2,0,2
backend,ch.supsi.business.image,ImageBusiness,0,175,0,18,0,36,0,22,0,13
backend,ch.supsi.business.image,ImageAdapter.new Function() {...},0,14,0,0,0,2,0,2,0,2
backend,ch.supsi.business.image,ImageBuilder,0,144,0,24,0,28,0,23,0,11
backend,ch.supsi.business.state,BusinessEditorState.EditedImage,0,17,0,0,0,8,0,8,0,8
backend,ch.supsi.business.state,BusinessEditorState.FilterPending,0,15,0,0,0,7,0,7,0,7
backend,ch.supsi.business.state,BusinessEditorState,0,108,0,2,0,37,0,19,0,18
backend,ch.supsi.business.state,BusinessEditorState.LoadingState,0,5,0,0,0,2,0,2,0,2
backend,ch.supsi.business.state,BusinessEditorState.ImageLoadedState,0,15,0,0,0,7,0,7,0,7
backend,ch.supsi.business.state,BusinessEditorState.DefaultState,0,17,0,0,0,8,0,8,0,8
backend,ch.supsi.application.preferences,PreferencesApplication,0,24,0,2,0,9,0,5,0,4
backend,ch.supsi.application.state,StateApplication,0,54,0,2,0,17,0,12,0,11
